name	address	website	archive_oldest	archive_newest
Mountainbiker.at	145-150, 1090 Wien	https://www.mountainbiker.at/	1999-10-09	2025-06-26
Fahrrad Trappl	Leystraße 75, 1200 Wien	http://www.fahrradtrappl.at	2003-07-22	2024-12-07
Ciclopia	Stiegengasse 20, 1060 Wien	http://ciclopia.at/	2002-03-28	2025-06-25
Citybiker	Lerchenfelder Straße 13, 1070 Wien	https://citybiker.at/	2006-12-05	2025-06-14
Roadbiker	Praterstraße 29, 1020 Wien	https://www.roadbiker.at/	2010-01-30	2025-05-24
Bikers	Spittelauer Lände 12, 1090 Wien	https://www.bikers.wien/	2020-09-19	2025-06-27
Oktosport	Bergengasse 6, 1220 Wien	https://www.oktosport.at/	2010-10-21	2025-06-22
Bikestore Wien Süd	Perfektastraße 45, 1230 Wien	https://www.bikestore.cc/	2003-12-29	2025-06-26
The Vienna Bikekitchen	Goldschlagstraße 8, 1150 Wien	http://bikekitchen.net/	2008-01-16	2025-06-26
Elektrobiker	Westbahnstraße 26, 1070 Wien	https://www.elektrobiker.com/	2009-04-08	2025-06-14
Kosteletzky GmbH	Weyringergasse 37, 1040 Wien	http://www.kosty-radsport.at/	2005-04-19	2024-01-17
Donau Fritzi	Donaupromenade am Radweg , 1190 Wien			
Bike Vienna	Hegelgasse 19, 1010 Wien	https://www.bikevienna.at/	2015-09-25	2025-07-22
velo.wien Services e.U.	Troststraße 114;R3, 1100 Wien	https://velo.wien	2020-08-12	2025-04-27
2radtreff.at	Breitenfurter Straße 270, 1230 Wien	https://www.2radtreff.at/	2007-04-27	2024-07-21
Enzovelo	Spittelauer Lände 11, 1090 Wien	https://www.enzovelo.at/	2008-04-21	2025-06-22
Rad21	Brünner Straße 26-32/5/R1, 1210 Wien	http://www.rad21.at	2010-11-03	2024-07-17
Fahrrad + Ski	Linke Wienzeile 128, 1060 Wien	https://www.fahrrad-ski.at/	2010-01-27	2025-06-24
radshop.at	Neubaugürtel 31, 1150 Wien	https://www.radshop.at/	2002-03-25	2025-06-23
2rad-Shop Gerhardt	Wiedner Hauptstraße 55, 1040 Wien	https://www.2rad-shop.at/	2007-12-17	2025-06-25
Mechaniker Marek	Ullmannstraße 65, 1150 Wien	www.fahrrad-mechaniker-marek.at		
2Rad-Vesecky	Böcklinstraße 64-66, 1020 Wien	https://www.2rad-pv.at/		
Galaxy	Hintere Zollamtsstraße 11, 1030 Wien	http://galaxy-fahrraeder.at/		
Waffenradspezialist	Schlöglgasse 19, 1120 Wien	https://www.waffenrad.at/		
Cooperative Fahrrad	Gumpendorfer Straße 111, 1060 Wien	https://www.fahrrad.co.at/		
Radhaus Singer	Reichsratsstraße 13, 1010 Wien	https://radhaussinger.com		
Rad & Tat	Fultonstraße 5-11/7/R1, 1210 Wien	https://radundtatwien.at		
Das Taschenfahrrad	Leopoldsgasse 28, 1020 Wien	https://www.dastaschenfahrrad.com/		
Bernhard Kohl Fahrrad & Fitness	Triester Straße 282-284, 1230 Wien	https://bernhardkohl.at/		
Radsport RIH	Praterstraße 48, 1020 Wien	https://radsport-rih.webnode.at		
