name	address	website	archive_oldest	archive_newest	offers repair	First Price Date	First Price	First Price (Inflation adjusted)	First Price Source	Current Price Date	Current Price	Current Price Source	lat	lon
Mountainbiker.at	U-Bahn Bogen 142/150, 1090 Wien, Österreich, 1090 Wien	https://www.mountainbiker.at/	1999-10-09	2025-06-26	Yes	2018-ß8-14	145		https://web.archive.org/web/20180815172057/http://www.mountainbiker.at/shops/radservice-werkstatt	2025-07-23	300	https://www.mountainbiker.at/Unsere_Werkstatt
Fahrrad Trappl	Leystraße 75, 1200 Wien	http://www.fahrradtrappl.at	2003-07-22	2024-12-07	No prices online								48.237681	16.3839507
Ciclopia	Stiegengasse 20, 1060 Wien	http://ciclopia.at/	2002-03-28	2025-06-25	No prices online	2003-08-18			https://web.archive.org/web/20030818002526/http://www.ciclopia.at/pages/frameset.htm	2025-07-23		https://www.ciclopia.at/service.html	48.1988967	16.3568091
Citybiker	Lerchenfelder Straße 13, 1070 Wien	https://citybiker.at/	2006-12-05	2025-06-14	No prices online (No Current Price)	2018-09-04	79		https://web.archive.org/web/20180904002545/https://citybiker.at/pages/werkstatt	2025-07-23		https://citybiker.at/pages/fahrradwerkstatt	48.2064147	16.3531142
Roadbiker	Praterstraße 29, 1020 Wien	https://www.roadbiker.at/	2010-01-30	2025-05-24	Yes	2015-02-162	145		https://web.archive.org/web/20150216033302/http://www.mountainbiker.at/shops/radservice-werkstatt/	2025-07-23	189	https://roadbiker.at/services/	48.2146305	16.3837188
Bikers	Spittelauer Lände 12, 1090 Wien	https://www.bikers.wien/	2020-09-19	2025-06-27	Yes	2020-09-19	129		https://web.archive.org/web/20200919044523/https://www.bikers.wien/werkstatt/	2025-07-23	189	https://www.bikers.wien/werkstatt/	48.2348306	16.3608498
Oktosport	Bergengasse 6, 1220 Wien	https://www.oktosport.at/	2010-10-21	2025-06-22	Yes	2018-09-03	129		https://web.archive.org/web/20180903104715/https://www.oktosport.at/sommer/service/	2025-07-23	179	https://www.oktosport.at/sommer/service/	48.2151793	16.4732006
Bikestore Wien Süd	Perfektastraße 45, 1230 Wien	https://www.bikestore.cc/	2003-12-29	2025-06-26	Yes	2017-07-04	129		https://web.archive.org/web/20170704121615/http://www.bikestore.cc/pricelist/Werkstatt-Preise2015.pdf	2025-07-23	249	https://web.archive.org/web/20250708140406/https://www.trek-store-wien.at/werkstatt.php?kat=wkat6351177a88461	48.1366346	16.317471
The Vienna Bikekitchen	Goldschlagstraße 8, 1150 Wien	http://bikekitchen.net/	2008-01-16	2025-06-26	Non-commercial								48.1992427	16.3363648
Elektrobiker	Westbahnstraße 26, 1070 Wien	https://www.elektrobiker.com/	2009-04-08	2025-06-14	No prices online (No First Price)					2025-07-23	149	https://elektrobiker.com/pages/werkstatt	48.2021597	16.3445978
